[Wed Apr 28 16:06:56 2021] 10 SIGUSR1 sent, 0 SIRUSR2 sent, 20 SIGUSR1 received, 0 SIGUSR2 received, avg 0.007 sec between SIGUSR1, avg inf sec between SIGUSR2
[Wed Apr 28 16:06:57 2021] 20 SIGUSR1 sent, 0 SIRUSR2 sent, 40 SIGUSR1 received, 0 SIGUSR2 received, avg 0.011 sec between SIGUSR1, avg inf sec between SIGUSR2
[Wed Apr 28 16:06:57 2021] 30 SIGUSR1 sent, 0 SIRUSR2 sent, 60 SIGUSR1 received, 0 SIGUSR2 received, avg 0.014 sec between SIGUSR1, avg inf sec between SIGUSR2
[Wed Apr 28 16:06:57 2021] 40 SIGUSR1 sent, 0 SIRUSR2 sent, 80 SIGUSR1 received, 0 SIGUSR2 received, avg 0.016 sec between SIGUSR1, avg inf sec between SIGUSR2
[Wed Apr 28 16:06:58 2021] 42 SIGUSR1 sent, 8 SIRUSR2 sent, 84 SIGUSR1 received, 8 SIGUSR2 received, avg 0.022 sec between SIGUSR1, avg 0.230 sec between SIGUSR2
[Wed Apr 28 16:06:59 2021] 43 SIGUSR1 sent, 17 SIRUSR2 sent, 86 SIGUSR1 received, 17 SIGUSR2 received, avg 0.028 sec between SIGUSR1, avg 0.144 sec between SIGUSR2
[Wed Apr 28 16:06:59 2021] 53 SIGUSR1 sent, 17 SIRUSR2 sent, 106 SIGUSR1 received, 17 SIGUSR2 received, avg 0.030 sec between SIGUSR1, avg 0.188 sec between SIGUSR2
[Wed Apr 28 16:07:00 2021] 55 SIGUSR1 sent, 25 SIRUSR2 sent, 110 SIGUSR1 received, 25 SIGUSR2 received, avg 0.037 sec between SIGUSR1, avg 0.164 sec between SIGUSR2
[Wed Apr 28 16:07:01 2021] 62 SIGUSR1 sent, 28 SIRUSR2 sent, 124 SIGUSR1 received, 28 SIGUSR2 received, avg 0.036 sec between SIGUSR1, avg 0.161 sec between SIGUSR2
[Wed Apr 28 16:07:01 2021] 72 SIGUSR1 sent, 28 SIRUSR2 sent, 144 SIGUSR1 received, 28 SIGUSR2 received, avg 0.033 sec between SIGUSR1, avg 0.168 sec between SIGUSR2
[Wed Apr 28 16:07:01 2021] 82 SIGUSR1 sent, 28 SIRUSR2 sent, 164 SIGUSR1 received, 28 SIGUSR2 received, avg 0.030 sec between SIGUSR1, avg 0.175 sec between SIGUSR2
